,index,0
0,hacdor,2
1,rooms,11
2,hacapo,2
3,v14a,2
4,refrig,2
5,v18q,2
6,r4h1,6
7,r4h2,9
8,r4h3,9
9,r4m1,6
10,r4m2,7
11,r4m3,9
12,r4t1,7
13,r4t2,11
14,r4t3,13
15,tamhog,13
16,tamviv,14
17,escolari,22
18,hhsize,13
19,paredblolad,2
20,paredzocalo,2
21,paredpreb,2
22,pareddes,2
23,paredmad,2
24,paredzinc,2
25,paredfibras,2
26,paredother,2
27,pisomoscer,2
28,pisocemento,2
29,pisoother,2
30,pisonatur,2
31,pisonotiene,2
32,pisomadera,2
33,techozinc,2
34,techoentrepiso,2
35,techocane,2
36,techootro,2
37,cielorazo,2
38,abastaguadentro,2
39,abastaguafuera,2
40,abastaguano,2
41,public,2
42,planpri,2
43,noelec,2
44,coopele,2
45,sanitario1,2
46,sanitario2,2
47,sanitario3,2
48,sanitario5,2
49,sanitario6,2
50,energcocinar1,2
51,energcocinar2,2
52,energcocinar3,2
53,energcocinar4,2
54,elimbasu1,2
55,elimbasu2,2
56,elimbasu3,2
57,elimbasu4,2
58,elimbasu5,1
59,elimbasu6,2
60,epared1,2
61,epared2,2
62,epared3,2
63,etecho1,2
64,etecho2,2
65,etecho3,2
66,eviv1,2
67,eviv2,2
68,eviv3,2
69,dis,2
70,male,2
71,female,2
72,estadocivil1,2
73,estadocivil2,2
74,estadocivil3,2
75,estadocivil4,2
76,estadocivil5,2
77,estadocivil6,2
78,estadocivil7,2
79,parentesco1,2
80,parentesco2,2
81,parentesco3,2
82,parentesco4,2
83,parentesco5,2
84,parentesco6,2
85,parentesco7,2
86,parentesco8,2
87,parentesco9,2
88,parentesco10,2
89,parentesco11,2
90,parentesco12,2
91,hogar_nin,10
92,hogar_adul,10
93,hogar_mayor,4
94,hogar_total,13
95,instlevel1,2
96,instlevel2,2
97,instlevel3,2
98,instlevel4,2
99,instlevel5,2
100,instlevel6,2
101,instlevel7,2
102,instlevel8,2
103,instlevel9,2
104,bedrooms,7
105,tipovivi1,2
106,tipovivi2,2
107,tipovivi3,2
108,tipovivi4,2
109,tipovivi5,2
110,computer,2
111,television,2
112,mobilephone,2
113,qmobilephone,11
114,lugar1,2
115,lugar2,2
116,lugar3,2
117,lugar4,2
118,lugar5,2
119,lugar6,2
120,area1,2
121,area2,2
122,age,97
123,SQBescolari,22
124,SQBage,97
125,SQBhogar_total,13
126,SQBedjefe,22
127,SQBhogar_nin,10
128,agesq,97
129,Target,4
