,0
hacdor,2
rooms,11
hacapo,2
v14a,2
refrig,2
v18q,2
r4h1,6
r4h2,9
r4h3,9
r4m1,6
r4m2,7
r4m3,9
r4t1,7
r4t2,11
r4t3,13
tamhog,13
tamviv,14
escolari,22
hhsize,13
paredblolad,2
paredzocalo,2
paredpreb,2
pareddes,2
paredmad,2
paredzinc,2
paredfibras,2
paredother,2
pisomoscer,2
pisocemento,2
pisoother,2
pisonatur,2
pisonotiene,2
pisomadera,2
techozinc,2
techoentrepiso,2
techocane,2
techootro,2
cielorazo,2
abastaguadentro,2
abastaguafuera,2
abastaguano,2
public,2
planpri,2
noelec,2
coopele,2
sanitario1,2
sanitario2,2
sanitario3,2
sanitario5,2
sanitario6,2
energcocinar1,2
energcocinar2,2
energcocinar3,2
energcocinar4,2
elimbasu1,2
elimbasu2,2
elimbasu3,2
elimbasu4,2
elimbasu5,1
elimbasu6,2
epared1,2
epared2,2
epared3,2
etecho1,2
etecho2,2
etecho3,2
eviv1,2
eviv2,2
eviv3,2
dis,2
male,2
female,2
estadocivil1,2
estadocivil2,2
estadocivil3,2
estadocivil4,2
estadocivil5,2
estadocivil6,2
estadocivil7,2
parentesco1,2
parentesco2,2
parentesco3,2
parentesco4,2
parentesco5,2
parentesco6,2
parentesco7,2
parentesco8,2
parentesco9,2
parentesco10,2
parentesco11,2
parentesco12,2
hogar_nin,10
hogar_adul,10
hogar_mayor,4
hogar_total,13
instlevel1,2
instlevel2,2
instlevel3,2
instlevel4,2
instlevel5,2
instlevel6,2
instlevel7,2
instlevel8,2
instlevel9,2
bedrooms,7
tipovivi1,2
tipovivi2,2
tipovivi3,2
tipovivi4,2
tipovivi5,2
computer,2
television,2
mobilephone,2
qmobilephone,11
lugar1,2
lugar2,2
lugar3,2
lugar4,2
lugar5,2
lugar6,2
area1,2
area2,2
age,97
SQBescolari,22
SQBage,97
SQBhogar_total,13
SQBedjefe,22
SQBhogar_nin,10
agesq,97
Target,4
v2a1,157
v18q1,7
rez_esc,6
dependency,31
edjefe,22
edjefa,22
meaneduc,155
overcrowding,38
SQBovercrowding,38
SQBdependency,31
SQBmeaned,155
